Covidence..;param1;param2;modelparam1;modelparam2;data_collection_start;data_collection_end
4002;4,55;3,3;1,901056015;0,417814509;20_1;20_1
4182;5,2;1,95;7,111111111;1,367521368;20_1;20_1
3582;3,89;1,92;4,104844835;1,055230035;20_1;20_1
5142;6,3;2,05;9,444378346;1,499107674;20_1;20_1
3935;3,9;1,48;6,94393718;1,780496713;20_1;20_1
4941;4,26;2,07;4,235244696;0,994188896;20_1;20_1
3949;2,51;1,21;4,30305307;1,714363773;20_1;20_1
5546;5,4;4,3;1,577068686;0,292049757;20_1;20_2
4129;4,58;3,28;1,949769482;0,425713861;20_1;20_1
3878;4,74;4,24;1,249755251;0,263661445;20_1;20_2
3433;5,7;3,8;2,25;0,394736842;20_1;20_1
3976;6,05;4,28;1,998127566;0,330269019;20_1;20_1
4031;7,5;3,4;4,865916955;0,648788927;20_1;20_1
3631;5,81;3,24;3,215601661;0,553459838;20_1;20_1
4157;6,49;4,9;1,754273219;0,27030404;20_1;20_1
3814;5,71;3,89;2,154631545;0,377343528;20_1;20_1
4137;4,8;2,3;4,355387524;0,907372401;20_1;20_1
3910;6,14;2,21;7,718842776;1,257140517;20_1;20_1
3442;8,72;5,65;2,381968831;0,273161563;20_1;20_2
3914;3,9;2,85;1,872576177;0,480147738;20_1;20_1
3856;5,68;4,77;1,417946723;0,249638508;20_1;20_2
3988;5,7;3,5;2,652244898;0,465306122;20_1;20_1
4156;6,23;3,49;3,186583033;0,511490053;20_1;20_2
3757;6,31;3,88;2,644814805;0,419146562;20_1;20_1
4207;5,54;3,9;2,017856673;0,364234057;20_1;20_1
7606;2,9;1,6;3,28515625;1,1328125;21_2;21_2
4233;5,2;3,2;2,640625;0,5078125;20_1;20_1
4023;5,9;4,8;1,510850694;0,256076389;20_1;20_1
3955;6,45;4,16;2,403990616;0,372711723;20_1;20_1
4063;5,4;4,5;1,44;0,266666667;20_1;20_1
5105;4,1;3,3;1,543617998;0,376492195;20_1;20_1
4105;4,6;4,4;1,092975207;0,237603306;20_1;20_1
7671;5,95;3,99;2,223761157;0,373741371;20_1;20_1
5093;3,9;2,6;2,25;0,576923077;20_1;20_1
3583;6,9;5,6;1,51817602;0,22002551;20_1;20_1
